"On a scale of 1 to 10, how do you feel about your life right now","In general, how would you describe your mental health","Compared to before COVID-Much better now9, how would you say your mental health is now",How would you describe the amount of stress in your life since the start of the COVID-Not at all stressful9 pandemic,How many relatives and friends do you have that you feel close to and can talk about what is on your mind,Since the start of the pandemic how often have you felt that you lacked companionship,Since the start of the pandemic how often have you felt that you were being left out,Since the start of the pandemic how often have you felt isolated from others,"In the past Never drank0 days, did you have a drink of an alchoholic beverage","On the days that you drank in the past 30, how many drinks did you usually have","During the past 2 or 3 times a week0 days, how often have you had 2 to 3 times in the last 30 days or more drinks on one occasion",On average how has your alchohol consumption changed compared to before the pandemic,Did stress cause your alchohol consumption to increase since the pandemic,Did boredom cause your alchohol consumption to increase since the pandemic,Did loneliness cause your alchohol consumption to increase since the pandemic,Did insomnia cause your alchohol consumption to increase since the pandemic,Did convenience cause your alchohol consumption to increase since the pandemic,Did cost contribute to a decrease in consumption of alchohol since the pandemic,Did family responsibilities contribute to a decreased consumption of alchohol since the pandemic,Did a personal choice contribute to a decrease in consumption of alchohol since the pandemic,Did decreased social opportunities contribute to a decrease in consumption of alchohol since the pandemic,Over the course of the pandemic did you ever continue to drink when you knew you had a serious emotional or physical problem that may have been caused or made worse by drinking,"Over the course of the pandemic, has your drinking interferred wirh your ability to maintain close relationships with other people","Over the course of the pandemic, have you ever seen or talked to a medical professional about your use of alcohol",In the past Never used cannabis day in the past 30 days0 days how often did you use Cannabis,"On average, how has your use of cannabis changed compatred to before the pandemic",What was the main reason you use cannabis,"Over the course of the pandemic, did you ever continue to use cannabis when you knew you had a serious emotional or physical problem that might have been caused or made worse by using cannabis ",Over the course of the pandemic has your cannabis use interferred with your ability to maintain close relationships with other people,Over the course of the pandemic have you talked to a medical profesional about your cannabis use,Over the past 3 days have you used any perscribed or non-perscribed drugs containing opioids                opioids,On average how has your opioid use changed compared to before the pandemic,"Over the course of the pandemic, did you ever continue to use opioids when you knew you had a serious emotional or physical problem that might have been caused or made worse by using opioids",Over the course of the pandemic has your opioid use interferred with your ability to maintain close relationships with other people,Over the course of the pandemic have you talked to a medical profesional about your opioid use,What is your age?,Are you a landed immigrant or permenant resident?,What is your Gender?,Do you have any children?,How would you descibe your ethnicity?,VERDATE
11,Very Good,About the same,A little stressful,Three to five,Never,Never,Never,"No, not in the past Never drank0 days",5,Not in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis day in the past 30 days,Stayed about the same,Medical without documentation,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,Southeast Asian,MAR
6,Good,Somewhat worse now,Stressful,One or two,Often,Always,Always,Yes,2,Once a week or 2 to 3 times in the last 30 days times a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,White,MAR
8,Fair,Somewhat worse now,A little stressful,Three to five,Hardly ever,Some of the time,Some of the time,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week,Stayed about the same,Non-Medical,No,No,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,26-35,No,Male,Yes,Korean,MAR
5,Fair,Somewhat better now,Stressful,Three to five,Often,Some of the time,Often,Yes,4,2 to 3 times in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week,Stayed about the same,Non-Medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Male,No,Southeast Asian,MAR
9,Good,Somewhat worse now,Stressful,Three to five,Often,Some of the time,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,No,Korean,MAR
5,Poor,Much worse now,Extremely stressful,One or two,Often,Always,Always,Yes,4,2 or 3 times a week,Increased,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Male,Yes,Black,MAR
9,Very Good,Somewhat worse now,Stressful,Three to five,Some of the time,Some of the time,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,No,Korean,MAR
6,Good,Much worse now,Extremely stressful,One or two,Always,Always,Always,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Daily,Increased,Both medical and non-medical,Yes,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,0-18,Yes,Female,No,Southeast Asian,MAR
10,Excdllent,About the same,A little stressful,Three to five,Never,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,Yes,Japanese,MAR
1,Fair,Somewhat worse now,Extremely stressful,One or two,Often,Hardly ever,Often,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,0-18,No,Female,Yes,Black,MAR
8,Good,About the same,A little stressful,One or two,Some of the time,Never,Some of the time,Yes,1,Once the last 30 days,Increased,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Yes,Stayed about  the same,No,No,No,46-55,No,Female,No,Japanese,MAR
6,Fair,Somewhat worse now,Stressful,Three to five,Some of the time,Hardly ever,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,Yes,White,MAR
4,Poor,Much worse now,Stressful,One or two,Often,Often,Often,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,White,MAY
9,Excdllent,About the same,A little stressful,Six to nine,Never,Hardly ever,Never,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Male,No,Southeast Asian,MAY
10,Very Good,About the same,Stressful,Three to five,Hardly ever,Hardly ever,Hardly ever,Yes,1,2 to 3 times in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Female,No,Korean,MAY
8,Very Good,About the same,Not at all stressful,Three to five,Hardly ever,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,65+,Yes,Male,No,Black,MAY
9,Very Good,About the same,A little stressful,Three to five,Some of the time,Hardly ever,Often,Yes,1,Once the last 30 days,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Male,No,Japanese,MAY
4,Good,Much worse now,Stressful,One or two,Often,Some of the time,Often,Yes,1,Once a week,Increased,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,Daily,Stayed about the same,Both medical and non-medical,Yes,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,Yes,Female,No,White,MAY
10,Excdllent,About the same,A little stressful,One or two,Never,Never,Some of the time,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,Southeast Asian,MAY
11,Excdllent,About the same,Not at all stressful,Ten or more,Hardly ever,Hardly ever,Hardly ever,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,Yes,Male,Yes,Korean,MAY
8,Good,About the same,A little stressful,One or two,Hardly ever,Hardly ever,Some of the time,"No, not in the past Never drank0 days",5,Not in the last 30 days,Not applicable,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,Yes,Male,No,Korean,MAY
6,Very Good,About the same,Not at all stressful,Ten or more,Some of the time,Never,Some of the time,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Black,MAY
9,Good,Somewhat worse now,Stressful,Ten or more,Some of the time,Some of the time,Some of the time,"No, not in the past Never drank0 days",5,Not in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not during the past 30 days,Decreased,Non-Medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,No,Chinese,MAY
8,Very Good,About the same,A little stressful,Three to five,Some of the time,Some of the time,Hardly ever,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,No,Korean,MAY
5,9,About the same,Very stressful,One or two,Never,Hardly ever,Never,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Korean,MAY
9,Very Good,Somewhat worse now,A little stressful,Three to five,Often,Some of the time,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Japanese,MAY
11,Excdllent,About the same,Extremely stressful,Ten or more,Never,Never,Never,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,White,MAY
8,Good,Somewhat better now,A little stressful,Ten or more,Never,Never,Some of the time,Yes,1,2 to 3 times in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week,Increased,Non-Medical,No,No,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,26-35,No,Female,Yes,Japanese,MAY
9,Very Good,Somewhat worse now,Very stressful,One or two,Often,Often,Often,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Male,No,Black,MAY
7,Very Good,Somewhat better now,A little stressful,Three to five,Hardly ever,Hardly ever,Hardly ever,Yes,1,Once a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Male,No,Chinese,MAY
10,Very Good,About the same,A little stressful,Three to five,Often,9,Often,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,19-25,No,Male,No,Japanese,MAY
10,Very Good,Somewhat worse now,A little stressful,Three to five,Never,Never,Often,Yes,1,Once the last 30 days,Increased,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Korean,MAY
7,Good,Somewhat worse now,Stressful,One or two,Often,Some of the time,Often,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,APRIL
8,Good,About the same,A little stressful,Three to five,Never,Hardly ever,Never,"No, not in the past Never drank0 days",5,Not in the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,Yes,Male,No,Korean,APRIL
9,Good,About the same,A little stressful,Three to five,Hardly ever,Never,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,56-65,No,Female,No,Southeast Asian,APRIL
9,Very Good,About the same,A little stressful,One or two,Never,Never,Never,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis or Not during the past 30 days days a week,Stayed about the same,Medical without documentation,No,No,No,"No, not during the last Never used an opioid0 days",Increased,No,No,Yes,65+,No,Male,No,Korean,APRIL
9,Good,Somewhat worse now,Very stressful,One or two,Some of the time,Hardly ever,Always,Yes,2,Once a week or 2 to 3 times in the last 30 days times a week,Increased,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Daily,Increased,Non-Medical,No,No,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,Chinese,APRIL
5,Fair,Somewhat worse now,Stressful,Three to five,Hardly ever,Hardly ever,Some of the time,Yes,3,Once a week or 2 to 3 times in the last 30 days times a week,Increased,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Male,Yes,Southeast Asian,APRIL
4,Poor,About the same,Stressful,None,Some of the time,Some of the time,Some of the time,Yes,1,Once the last 30 days,Increased,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,36-45,No,Male,Yes,Southeast Asian,APRIL
9,Very Good,About the same,A little stressful,Three to five,Hardly ever,Some of the time,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Male,No,White,APRIL
9,Very Good,Somewhat better now,Stressful,Three to five,Some of the time,Hardly ever,Some of the time,"No, not in the past Never drank0 days",5,Not in the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,Yes,Female,No,Japanese,APRIL
6,Very Good,Somewhat worse now,Stressful,One or two,Some of the time,Some of the time,Some of the time,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,65+,Yes,Male,No,Southeast Asian,APRIL
5,Good,Somewhat worse now,A little stressful,One or two,Some of the time,9,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Not applicable,Refuse to answer,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,46-55,No,Male,No,Southeast Asian,APRIL
8,Good,Somewhat worse now,A little stressful,Six to nine,Often,Never,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,No,Female,No,Chinese,APRIL
9,Excdllent,Much better now,A little stressful,Three to five,Never,Never,Never,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,56-65,Yes,Female,No,Chinese,APRIL
5,Excdllent,About the same,Stressful,Three to five,Some of the time,Hardly ever,Hardly ever,Never drank,5,Not in the last 30 days,NULL,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,Yes,Female,Yes,Japanese,APRIL
6,Excdllent,About the same,A little stressful,Three to five,Often,Hardly ever,Never,Yes,1,Once the last 30 days,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,Yes,Female,No,Korean,APRIL
11,Excdllent,About the same,Stressful,Ten or more,Never,Never,Some of the time,Yes,1,Once a week,Decreased,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Yes,Stayed about  the same,No,No,No,26-35,No,Male,Yes,West asian,APRIL
7,Very Good,About the same,Stressful,Three to five,Never,Never,Some of the time,Yes,1,Once a week,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Not during the past 30 days,Stayed about the same,Both medical and non-medical,No,Don't know,No,"No, not during the last Never used an opioid0 days",Not applicable,Refuse to answer,No,No,46-55,No,Male,No,Southeast Asian,APRIL
8,Very Good,About the same,A little stressful,Three to five,Hardly ever,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Increased,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,No,Female,Yes,Japanese,APRIL
6,Fair,Somewhat worse now,Stressful,One or two,Often,Often,Often,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,26-35,Yes,Female,Yes,Southeast Asian,APRIL
4,Poor,Much worse now,Extremely stressful,One or two,Often,Often,Often,"No, not in the past Never drank0 days",5,Not in the last 30 days,Increased,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,Yes,Female,Yes,Korean,APRIL
7,Good,Somewhat worse now,A little stressful,One or two,Some of the time,Hardly ever,Some of the time,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,36-45,No,Male,Yes,White,APRIL
7,Very Good,About the same,A little stressful,Six to nine,Often,Never,Hardly ever,Yes,1,Once the last 30 days,Stayed about the same,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Never used cannabis,Stayed about the same,Refuse to answer,No,Don't know,No,Never used an opioid,Stayed about  the same,Refuse to answer,No,No,46-55,Yes,Female,No,White,APRIL
